lat,lon,bU,seU,bT,n,ev,exit_rate,U_bar,tw_bar,q_bar,do_bar,sat_bar
28.38500749,-81.6164632,0.21783847389706543,0.17507881531141553,-0.2522132226842925,1519,11,0.007241606319947334,2.419153,26.16830985915493,9.15,1.3545774647887323,0.137499053779696
28.27584517,-81.5439622,0.09872003445826316,0.15817753989805342,0.061220318635900724,1145,36,0.0314410480349345,2.3509827,25.970698344132472,,1.8234532374100718,0.1804760389163998
28.05446224,-82.3637032,0.2655604060722546,0.1058219763663834,-0.16024452648303125,661,55,0.0832072617246596,2.4120057,26.892017879948916,388.0,3.425967681322811,0.36780653526899526
31.62219444,-85.0591667,0.2992677190879016,0.1010638276899972,0.18375259211104347,627,167,0.266347687400319,2.3639991,26.282535527299924,5105.0,5.27167976056865,0.47639098264742735
40.15311775,-83.1263,0.30795452724967626,0.22240665736579648,-0.1129089923692956,120,37,0.30833333333333335,3.133889,21.59726384364821,,6.275679172056922,0.6237057270417113
38.77525,-84.97238889,0.034582502091082025,0.2332521742516683,0.02494440759105759,85,51,0.6,2.4563603,23.729116387699495,49900.0,6.57755737067289,0.7040354651500068
38.2114592,-85.7024613,0.38503741720244383,0.2469807577972841,-0.23739436961548724,96,27,0.28125,2.3514817,21.969736842105263,6.09,6.2935672514619885,0.5962107988967932
38.25034895,-85.7166287,0.1628255532871238,0.14295397794528508,-0.3089471261707896,214,76,0.35514018691588783,2.3483193,21.327470355731226,,5.906916996047431,0.45101547495200545
38.0875,-85.6425,0.6218702535125511,0.19419690844420495,0.6644848608207893,143,43,0.3006993006993007,2.3248112,21.146072874493928,1.46,6.143238866396761,0.5099795786396177
38.1492,-85.6788,0.1463410689642434,0.20699394289133954,0.05599897899313779,77,31,0.4025974025974026,2.3199325,22.10211320754717,4.04,7.767673716012085,0.5919646271986168
38.04693096,-85.8572681,0.08222309996363515,0.21412353670157105,-0.24237149019416787,121,48,0.39669421487603307,2.2654946,20.4454103343465,0.46,5.779052823315118,0.4908940899739239
41.33305556,-88.4669444,-0.14239301834358795,0.35530264810085344,-0.9271227004037701,67,21,0.31343283582089554,3.2956784,23.23299922898998,6.21,9.036412625096228,0.8088608102294949
43.485857,-85.63060189,-0.034342248052108094,0.15485977309997498,0.31070496938185344,770,58,0.07532467532467532,3.1154065,17.14120642381512,,5.712465699725597,0.45149149065752153
40.9792203,-83.6532653,-0.12219429689516437,0.22544716947259882,-0.14328527383477055,87,27,0.3103448275862069,3.4171348,20.14885177453027,3.42,5.8548678720445055,0.5009944654420646
42.0808333,-121.85,0.20970951102859592,0.1203384533615362,-0.17394937488306955,872,128,0.14678899082568808,2.1260796,18.727994175464143,,5.478392142597309,0.38893597146122627
42.12805556,-121.9277778,0.7754892617362537,0.15176896778912088,-0.049653885655027714,1003,84,0.08374875373878365,2.1355827,17.71864035087719,,4.42954711468225,0.402414544923556
42.14805556,-121.848611,0.05728483759889288,0.14593126470098775,-0.679522352242139,908,98,0.10792951541850221,2.1719403,18.56375181422351,,5.987549909255899,0.48231860457984627
42.14805556,-121.848611,0.6008319966439836,0.14556566578546304,-0.0960014705806527,1225,55,0.044897959183673466,2.1728737,17.839338235294118,,4.246838235294118,0.35962522697047195
42.1708333,-121.7883333,-0.15053704274169036,0.20664807915160843,-0.5349445787226509,848,58,0.06839622641509434,2.1715946,18.42978645066274,,5.792350128723795,0.4823450869974517
45.5009505,-122.852045,0.06089912002359542,0.2145458564797543,-0.1673785921976368,58,29,0.5,2.0512586,17.88167713335796,,5.18961950498707,0.4729461858608425
36.5950631,-93.3090721,0.025880259679753933,0.13637320925014898,-0.01259144680702083,462,58,0.12554112554112554,2.5028317,10.808621667612025,,5.7537507050197405,0.36347129727219146
36.24923449,-92.2384887,0.11172924310984932,0.27442145493929226,1.3505796288397336,43,17,0.3953488372093023,2.385619,12.597341710971484,,7.73487922705314,0.5467724657727073
37.4936111,-90.8383333,0.30200416925902207,0.48496680996160857,0.594055047465124,73,8,0.1095890410958904,2.6593046,23.337341269841268,17.1,6.627568425228083,0.6822936319386473
35.5731511,-95.0688458,-0.9488204895988032,0.5951234092699744,2.8951169809839525,60,8,0.13333333333333333,2.6804967,17.206243441762854,1030.0,6.698218962807752,0.5726350078217688
34.87888889,-92.6855556,-0.002184423591819349,0.1950066200823958,0.23831339857576625,163,63,0.38650306748466257,2.3308513,24.19698085419735,1.62,5.755950201391432,0.5614751048529751
34.87527778,-92.6538889,-0.6309262941473383,0.2644341584905921,-0.14371121225364245,72,41,0.5694444444444444,2.3355725,26.028424386381634,33.2,6.932207207207208,0.7219548091649983
33.28344977,-96.8927805,-0.08160824674538596,0.29269176393096397,-0.3578949868180702,149,34,0.22818791946308725,3.3755744,24.603585461689587,0.4,6.29516129032258,0.5830865950793119
30.02716385,-95.2579888,-0.22672588108386652,0.2577607922374233,0.3854000087887003,123,56,0.45528455284552843,2.6677494,28.35704493526276,577.0,7.925714285714286,0.722554628536685
29.185833,-102.975,0.31322224713264585,0.24378011558419735,-0.25479706169650174,73,33,0.4520547945205479,2.059702,28.75321955003879,178.0,6.276744186046511,0.6987812143317241
