aU_z,aT_z,aL_z,ep,n_days,cls
-0.4283898971558858,1.0896645535147143,0.41995624870155457,522,3,3-4
0.47462157612257694,0.07981439700062476,-0.954332497208713,523,7,5-7
0.1764023293799659,0.06822902844712408,-0.5636031878065676,526,4,3-4
-0.20975252239839445,-0.022065990898848586,-0.14409448570932493,528,3,3-4
-0.2200476414495938,0.09092895223832653,-0.019200388426818538,530,13,8-14
-1.5018659062452029,0.3483051532949807,-1.0206450427379097,532,6,5-7
0.5960119705898232,-0.032057776706718166,-0.5915537117911889,533,3,3-4
-1.6807129365744757,-0.049187306968392575,-2.450369317886008,535,12,8-14
1.0531986436527336,-1.1999312911097182,-3.584390832031778,536,24,15+
-1.511625120687607,0.35253146781973554,-1.3388187302450474,537,4,3-4
0.5451065257781719,0.8205140636957529,-1.7008794277904347,539,5,5-7
0.47632718447803324,0.12342523534246033,-1.1596889797286123,541,8,8-14
-0.7302936776229644,0.32097527386998154,1.1128724677273558,543,4,3-4
-0.2598496875715076,1.0117065875706253,-0.5014759164973678,544,20,15+
-0.17199785803853462,0.8366525335509052,0.3756458590326669,545,6,5-7
-0.8689704929103345,0.5118525552890447,-2.2212048529785973,546,9,8-14
-0.5899818042362096,0.684353173065395,-1.726112814740258,547,16,15+
-1.104932578288079,0.40667736538414556,-1.545972172248327,549,5,5-7
-0.209456677810185,1.3961387876679587,-1.0095531558732453,550,3,3-4
-0.5020641980336302,0.5429457834091238,-0.30083478210529513,551,3,3-4
-0.5764655056114879,-0.7991090104757601,-0.31961972506151076,556,3,3-4
0.19710014936584802,-0.1456826492122965,-1.0147943441654461,558,10,8-14
0.45557582786592205,0.7229887793227451,-0.07281543048767959,562,4,3-4
1.298860881993996,0.5108439278937597,0.9527621388603403,563,11,8-14
-0.5171975322673573,0.3729451665681647,-0.3314819785005516,564,7,5-7
0.44315444954075367,1.5337558029519802,0.13589959798095413,566,7,5-7
-1.2598672613563546,-0.1951505135529743,-0.19616794010511718,570,19,15+
-0.4910994356748686,-0.4344796023560398,-1.301189181652413,571,4,3-4
-0.2293254413668484,0.42508641899472477,-1.31298721733812,572,5,5-7
-0.3645808120933297,-1.1302358769895569,0.07654232947842338,573,7,5-7
1.4570641428966513,-0.35696140793865494,1.166595194867968,576,8,8-14
0.9800342322314423,-1.2842380263570137,-1.3644501530580455,578,9,8-14
1.690837863405839,-0.0014239691661768195,-3.6954059497980527,581,12,8-14
-0.4795834831586451,-0.5342415226932402,-0.21546315791777432,582,10,8-14
0.5919806897601051,-0.9061271782550899,-1.9958998212069643,584,7,5-7
0.7717600612551606,-1.2575978107486434,-1.029027715524191,586,8,8-14
1.3361929613916885,-0.474149979319144,-1.4128551823693054,587,8,8-14
-0.24531082900047585,-1.298136206174455,1.2821469668342778,588,9,8-14
0.4916138402232576,0.2603336872973011,-0.3607887643640716,592,11,8-14
-1.298092884391651,-0.04526233157137027,-0.9314193561876591,593,5,5-7
-0.7818658149411319,0.2337249843587994,-0.034396953054817936,597,8,8-14
0.8141896419352158,-0.32457805950277496,0.29886452507767214,598,5,5-7
0.11418078330153433,0.19454784188896723,-0.5347347789374477,599,4,3-4
0.31635103663708164,-0.7913647544083082,0.01841700922764311,600,5,5-7
0.29828476668606313,-0.7131034663560497,0.03538155615694005,602,6,5-7
1.0364908744889028,-0.3754362829485952,0.059072472837444434,603,22,15+
0.009170516455627033,0.16662458695196325,-0.5153324840916547,604,3,3-4
0.4275254026230389,-0.13747921701565335,-1.4292886292677922,606,8,8-14
0.6409798339131298,0.8102806139381281,0.28225912930511643,608,8,8-14
-1.1583059428742775,-0.6458270508588149,-2.3618252597565013,609,3,3-4
-0.3030923037778868,0.23378218866205702,-1.6919490969822193,611,4,3-4
3.3229112168789547,-0.5537759382191584,-2.887807626975773,612,20,15+
0.2215245745929073,1.064537970264739,-1.7749572463004304,613,27,15+
-0.4689098706744139,-0.04395726865208842,-0.7027485719906618,615,7,5-7
-0.7242182069188644,-0.9088099496156022,0.700373622349405,616,12,8-14
1.4889845580895544,0.7762382247879825,-1.7300838533792486,617,11,8-14
-0.32526391038936486,-0.42875681619614103,-2.717288544818686,618,5,5-7
1.065008667278506,1.3216323129688454,-0.8487038087476628,619,4,3-4
-0.1821933727449827,1.5494174715683535,-0.8599576867157283,620,25,15+
0.24870561423748427,0.40233140769129816,0.5090202753510743,621,6,5-7
-0.450629705843319,-0.7718943611952924,0.01374534721394366,623,16,15+
2.2995009975750667,0.7118624855792666,0.28268055151313676,624,3,3-4
-0.6439743178107257,0.2543320535661475,-0.48252844810811085,626,4,3-4
0.6175569146402328,0.5208791069325533,-0.5893671803559393,628,10,8-14
3.1781824473757654,1.2197297564568237,-1.3951988897579655,631,4,3-4
1.3533578170964855,0.3616995769159685,0.23845627126443736,632,3,3-4
-0.9228568032596465,-1.2473359914935098,0.913678234293479,633,5,5-7
0.475280082401164,-0.6777871450916109,-1.4021994389465,634,3,3-4
1.2502598734320938,0.8414625337520607,-0.49970352921662453,637,11,8-14
1.41171907481186,-2.477940117515449,-3.638369841800765,639,4,3-4
-0.8966040962121327,-0.682225163340363,0.19651819467253817,640,42,15+
0.8396927010388433,-0.24106274947105333,1.1315977816271916,641,22,15+
1.8094375724174139,0.07175849695901304,-3.0498987943180604,642,11,8-14
-0.9102781351572069,-0.9200180423842699,-1.2857824127141078,643,7,5-7
0.6900643592308977,0.6555348829782082,0.7665896791240806,645,5,5-7
-0.09032794093456165,-0.16958178405816426,-0.8057984904639413,649,3,3-4
-0.6335199193453849,-0.38404179623505585,-1.691999351587725,651,25,15+
0.6938554688033656,0.8295297774634947,-3.2958400066283153,657,6,5-7
0.2028027820636858,-0.4751840667040876,-0.6131054496263417,658,24,15+
