site_id,lat,lon,n_days,n_years
6892350,38.9833375,-94.9646893,1436,8
6892518,39.0461111,-94.7894444,1449,8
6893820,39.0173611,-94.3872778,2720,15
6894000,39.1005609,-94.3005038,2727,15
6934500,38.70980556,-91.4385,2579,15
7020850,37.30188889,-89.518,1521,9
7048600,36.07305556,-94.0811111,1582,9
7049691,36.4208333,-93.8472222,1845,12
7053450,36.5950631,-93.3090721,1773,11
7054501,36.365,-92.575,2198,14
7054527,36.3436111,-92.5741667,2369,15
7060000,36.24923449,-92.2384887,2070,13
7061270,37.55255556,-90.8424444,2650,15
7061290,37.4936111,-90.8383333,2522,14
7075270,35.5697222,-92.6219444,2102,12
7076000,35.5172222,-91.9972222,2481,15
7109500,38.248056,-104.398611,2570,15
7143672,38.02853056,-97.5405417,2107,12
7144100,37.88306739,-97.4244864,2553,14
7144780,37.8621972,-98.0137806,2381,14
7164500,36.14064807,-96.0063866,1489,9
7177500,36.27842534,-95.954162,2465,14
7178200,36.2231514,-95.8194322,2038,12
71912213,36.32256869,-94.6852334,2188,12
7191222,36.35535924,-94.7763388,1732,10
7198000,35.5731511,-95.0688458,1913,11
7263296,34.87888889,-92.6855556,2731,15
72632966,34.87527778,-92.6538889,2664,15
7332622,33.74416667,-95.9611111,1670,10
8049500,32.7625,-96.9944444,2145,12
8052700,33.28344977,-96.8927805,2046,12
8052745,33.219298,-96.8919565,2358,14
8062500,32.42652988,-96.4630415,2066,12
8065350,31.33851319,-95.6563407,1727,11
8067074,29.80674444,-95.0323972,1612,9
8068000,30.24465738,-95.4571616,1943,11
8068500,30.11049517,-95.4363275,2501,14
8069500,30.02716385,-95.2579888,2626,15
8070200,30.14523056,-95.1246139,2502,14
8180850,29.24685278,-98.5487944,1623,9
8181800,29.2221853,-98.3558463,2692,15
8188060,28.84869444,-97.7371389,1958,11
8211200,27.93779594,-97.7758308,2732,15
8375300,29.185833,-102.975,1290,8
9041400,40.108611,-106.413333,2725,15
9406000,37.2041494,-113.1807789,2706,15
