site_id,lat,lon,n_summers,n_days,n_ep,med_dur,max_dur,ep_days,ep_per_summer,frac_days
2147801,34.33207981,-80.69842699,8,1398,10.0,1.5,3.0,16.0,1.25,1.1444921316165952
2156500,34.5951393,-81.4212089,15,2706,0.0,,,0.0,0.0,0.0
2160105,34.53539879,-81.54816337,15,2691,0.0,,,0.0,0.0,0.0
2160700,34.5093039,-81.5981594,15,2728,0.0,,,0.0,0.0,0.0
2160991,34.26070285,-81.3303747,15,2666,0.0,,,0.0,0.0,0.0
2162035,34.0483333,-81.0733333,13,2359,0.0,,,0.0,0.0,0.0
2167600,34.09930647,-81.5684382,15,2647,12.0,1.0,2.0,15.0,0.8,0.5666792595391009
2167716,34.0795843,-81.5617714,15,2687,32.0,2.0,14.0,72.0,2.1333333333333333,2.679568291775214
2168504,34.0509822,-81.2095418,15,2743,16.0,2.0,8.0,44.0,1.0666666666666667,1.6040831206707984
2169000,34.0140416,-81.0878717,15,2749,0.0,,,0.0,0.0,0.0
2171645,33.4275,-79.915,14,2459,7.0,1.0,2.0,8.0,0.5,0.32533550223668156
2172002,33.21491667,-79.9749167,9,1532,20.0,1.5,10.0,45.0,2.2222222222222223,2.93733681462141
2172050,33.05766667,-79.9357778,15,2683,1.0,1.0,1.0,1.0,0.06666666666666667,0.03727171077152441
21720677,32.89045228,-79.9628645,14,2522,0.0,,,0.0,0.0,0.0
217206935,32.85569444,-79.9526667,8,1459,2.0,5.5,10.0,11.0,0.25,0.7539410555174777
217206962,32.92130556,-79.82438889,9,1570,2.0,1.0,1.0,2.0,0.2222222222222222,0.12738853503184713
21720698,32.8590638,-79.8961963,15,2692,12.0,1.0,4.0,19.0,0.8,0.7057949479940565
21720709,32.80239835,-79.9100869,15,2710,0.0,,,0.0,0.0,0.0
21720825,32.92583333,-80.1516667,8,1433,9.0,1.0,8.0,23.0,1.125,1.6050244242847174
21720869,32.8346201,-80.0237014,15,2712,33.0,1.0,9.0,62.0,2.2,2.286135693215339
2198840,32.2354722,-81.1510833,11,1969,1.0,1.0,1.0,1.0,0.09090909090909091,0.05078720162519045
2198920,32.16533333,-81.1549167,11,2010,94.0,3.0,83.0,745.0,8.545454545454545,37.06467661691542
2198950,32.1657222,-81.1379722,11,2019,75.0,2.0,16.0,241.0,6.818181818181818,11.936602278355622
2198955,32.14277778,-81.1352778,11,1954,85.0,5.0,105.0,1021.0,7.7272727272727275,52.2517911975435
21989715,32.11608333,-81.1283333,12,2206,98.0,3.0,91.0,781.0,8.166666666666666,35.403445149592024
21989773,32.08041667,-81.0813611,15,2731,72.0,2.0,26.0,335.0,4.8,12.26656902233614
21989792,32.16583333,-81.13,11,2014,3.0,1.0,4.0,6.0,0.2727272727272727,0.29791459781529295
21989793,32.13666667,-81.1219444,11,1969,6.0,1.0,5.0,12.0,0.5454545454545454,0.6094464195022854
219897945,32.09777778,-81.0827778,11,1998,41.0,1.0,19.0,114.0,3.727272727272727,5.7057057057057055
219897993,32.10305556,-81.0069444,11,1945,8.0,1.5,4.0,16.0,0.7272727272727273,0.8226221079691517
22035975,31.45333333,-81.3627778,15,2694,172.0,2.0,50.0,638.0,11.466666666666667,23.682256867112102
2203603,33.68388889,-84.4152778,15,2651,1.0,1.0,1.0,1.0,0.06666666666666667,0.03772161448509996
2203655,33.67891667,-84.35813889,14,2486,1.0,1.0,1.0,1.0,0.07142857142857142,0.04022526146419952
2203700,33.68902778,-84.3301111,13,2266,28.0,1.0,6.0,50.0,2.1538461538461537,2.206531332744925
2203831,33.70569444,-84.2921944,11,2007,1.0,1.0,1.0,1.0,0.09090909090909091,0.04982561036372696
2203863,33.69319444,-84.25388889,13,2284,0.0,,,0.0,0.0,0.0
2203873,33.70941667,-84.2391667,11,2000,1.0,4.0,4.0,4.0,0.09090909090909091,0.2
2203900,33.66577778,-84.224,13,2341,1.0,1.0,1.0,1.0,0.07692307692307693,0.042716787697565144
2203950,33.7632222,-84.2203611,13,2348,3.0,2.0,4.0,7.0,0.23076923076923078,0.2981260647359455
2203960,33.69666667,-84.1986111,12,2106,0.0,,,0.0,0.0,0.0
2204037,33.66819444,-84.1511667,12,2157,0.0,,,0.0,0.0,0.0
2207135,33.83041667,-84.1393333,10,1832,0.0,,,0.0,0.0,0.0
2207160,33.77327778,-84.0771667,9,1639,0.0,,,0.0,0.0,0.0
2208450,33.63938889,-83.7784167,10,1800,0.0,,,0.0,0.0,0.0
2208493,33.6285,-83.7988611,10,1810,0.0,,,0.0,0.0,0.0
2217643,34.1620583,-83.5250944,12,2071,0.0,,,0.0,0.0,0.0
2234000,28.7141611,-81.0353374,10,1739,46.0,3.0,38.0,245.0,4.6,14.08855664174813
2244040,29.596362,-81.6831761,10,1733,9.0,3.0,43.0,84.0,0.9,4.847085978072706
2264000,28.390564,-81.519517,12,2003,51.0,4.0,151.0,955.0,4.25,47.67848227658512
2264100,28.32528785,-81.5206284,13,2174,70.0,3.0,24.0,329.0,5.384615384615385,15.133394664213432
2266200,28.38500749,-81.6164632,12,2039,39.0,29.0,184.0,1879.0,3.25,92.15301618440412
2266300,28.33278738,-81.579796,15,2703,6.0,2.5,37.0,48.0,0.4,1.7758046614872365
2266495,28.27584517,-81.5439622,12,2052,75.0,13.0,149.0,1728.0,6.25,84.21052631578948
2304000,28.05446224,-82.3637032,15,2666,108.0,6.0,103.0,1203.0,7.2,45.12378094523631
2326526,30.3013159,-83.9796085,8,1401,5.0,2.0,5.0,14.0,0.625,0.9992862241256245
2336120,33.83155556,-84.3427778,15,2710,0.0,,,0.0,0.0,0.0
2336152,33.81044444,-84.2479722,13,2333,7.0,4.0,10.0,32.0,0.5384615384615384,1.3716245177882556
23362095,33.82138889,-84.2747222,12,2149,0.0,,,0.0,0.0,0.0
2336240,33.8030833,-84.3406944,15,2699,0.0,,,0.0,0.0,0.0
2336300,33.82030556,-84.40763889,14,2438,0.0,,,0.0,0.0,0.0
2336313,33.82163889,-84.43863889,15,2663,14.0,2.0,6.0,33.0,0.9333333333333333,1.2392039053698836
2336340,33.89775,-84.34525,12,2187,0.0,,,0.0,0.0,0.0
2336360,33.86916667,-84.37888889,15,2687,0.0,,,0.0,0.0,0.0
2336410,33.8382222,-84.4392778,15,2708,0.0,,,0.0,0.0,0.0
2336526,33.7944722,-84.4741944,15,2712,2.0,3.0,5.0,6.0,0.13333333333333333,0.22123893805309736
2336728,33.74352778,-84.5681667,15,2690,0.0,,,0.0,0.0,0.0
2337170,33.65666667,-84.6736111,15,2707,1.0,1.0,1.0,1.0,0.06666666666666667,0.03694126339120798
23432415,31.62219444,-85.0591667,15,2680,169.0,2.0,24.0,630.0,11.266666666666667,23.507462686567163
2343805,31.24908333,-85.1066111,8,1445,0.0,,,0.0,0.0,0.0
2344630,33.35727778,-84.5826111,14,2264,6.0,3.0,7.0,19.0,0.42857142857142855,0.8392226148409894
2344673,33.38316667,-84.5727222,9,1603,5.0,1.0,3.0,8.0,0.5555555555555556,0.4990642545227698
2356000,30.91030556,-84.5805,8,1461,0.0,,,0.0,0.0,0.0
2357150,30.903,-84.7495,8,1455,1.0,13.0,13.0,13.0,0.125,0.8934707903780069
2359170,29.94937094,-85.0154686,8,1422,3.0,7.0,9.0,22.0,0.375,1.5471167369901546
2394682,34.0789722,-84.8544444,9,1586,0.0,,,0.0,0.0,0.0
2397530,34.20194444,-85.45325,15,2728,0.0,,,0.0,0.0,0.0
2423160,33.60371416,-86.5491517,13,2234,0.0,,,0.0,0.0,0.0
2423397,33.53454886,-86.5624847,14,2437,0.0,,,0.0,0.0,0.0
2423496,33.3692767,-86.7841551,13,2113,0.0,,,0.0,0.0,0.0
2455980,33.71121273,-86.6961013,15,2700,0.0,,,0.0,0.0,0.0
2457595,33.5970492,-86.8680483,14,2314,0.0,,,0.0,0.0,0.0
2458450,33.5176481,-86.87915889,15,2551,0.0,,,0.0,0.0,0.0
294213081345300,29.70385766,-81.5811919,11,1921,5.0,1.0,3.0,8.0,0.45454545454545453,0.41644976574700676
3007800,41.81867578,-78.29279129,13,2240,0.0,,,0.0,0.0,0.0
302309081333001,30.3860727,-81.55814749,11,1895,0.0,,,0.0,0.0,0.0
3027500,41.5531176,-78.5961347,9,1588,0.0,,,0.0,0.0,0.0
3034000,40.93923105,-79.00836738,14,2426,0.0,,,0.0,0.0,0.0
3036000,40.9275653,-79.2911508,15,2524,0.0,,,0.0,0.0,0.0
3049640,40.5361302,-79.81475899,15,2500,0.0,,,0.0,0.0,0.0
3058000,39.00452778,-80.4733611,15,2704,0.0,,,0.0,0.0,0.0
3061000,39.42230818,-80.2759187,13,2192,0.0,,,0.0,0.0,0.0
3067510,38.6170576,-79.8697849,15,2695,0.0,,,0.0,0.0,0.0
3072655,39.8250275,-79.9228206,11,1989,0.0,,,0.0,0.0,0.0
3073000,39.92313056,-80.072558,12,2020,0.0,,,0.0,0.0,0.0
3075070,40.26224454,-79.9011517,15,2675,0.0,,,0.0,0.0,0.0
3077100,39.80138889,-79.3686111,12,1805,0.0,,,0.0,0.0,0.0
3081000,39.8275767,-79.3725353,15,2546,0.0,,,0.0,0.0,0.0
3083500,40.2402222,-79.8066944,13,2181,0.0,,,0.0,0.0,0.0
3098600,41.10527778,-80.6655556,15,2587,0.0,,,0.0,0.0,0.0
3105500,40.88867389,-80.3370083,14,2493,0.0,,,0.0,0.0,0.0
3106000,40.8170092,-80.2422837,14,2384,0.0,,,0.0,0.0,0.0
